"Identifiant__BAN";"Conso_chauffage_dépensier_é_finale";"Emission_GES_ECS";"Type_énergie_n°1";"Date_établissement_DPE";"Nom__commune_(BAN)";"Emission_GES_chauffage";"Coût_total_5_usages";"Conso_ECS_é_finale";"Emission_GES_5_usages";"N°DPE";"Code_postal_(BAN)";"Conso_ECS_é_primaire";"Etiquette_GES";"Coordonnée_cartographique_X_(BAN)";"Date_fin_validité_DPE";"Conso_chauffage_é_finale";"Type_bâtiment";"Conso_5_usages_par_m²_é_primaire";"Etiquette_DPE";"Coût_chauffage";"Emission_GES_5_usages_par_m²";"Conso_5_usages_é_finale";"N°_département_(BAN)";"_geopoint";"N°_région_(BAN)";"Surface_habitable_logement";"Version_DPE";"Coordonnée_cartographique_Y_(BAN)";"Code_INSEE_(BAN)";"Coût_ECS";"_score";"Année_construction";"id_fantoir";"numero";"rep";"nom_voie";"code_postal";"code_insee";"nom_commune";"code_insee_ancienne_commune";"nom_ancienne_commune";"x";"y";"lon";"lat";"type_position";"alias";"nom_ld";"libelle_acheminement";"nom_afnor";"source_position";"source_nom_voie";"certification_commune";"cad_parcelles"
"1";"48002_0039_00038";29031.4;1209.6;"Fioul domestique";"2023-04-18";"Albaret-Sainte-Marie";6280.8;2643;3733.3;7563.3;"2348E1316663V";"48200";3733.3;"E";719546.98;"2033-04-17";27980.9;"maison";239.9;"E";1995;52.8;32841.3;"48";"44.881299958869114,3.247536014944905";"76";143;2.3;6420265.99;"48002";341;38.6165;2001;"48002_0039";38;"";"Rue du Foirail";48200;48002;"Albaret-Sainte-Marie";NA;"";719531.34;6420266.17;3.247338;44.881302;"entrée";NA;"La Garde";"ALBARET-SAINTE-MARIE";"RUE DU FOIRAIL";"commune";"commune";1;"48002000AA0059|48002000AA0058"
"2";"48002_0040_00773";15513.8;624.8;"Fioul domestique";"2023-08-08";"Albaret-Sainte-Marie";4873.5;1640.3;1928.2;5518.4;"2348E2690709T";"48200";1928.2;"F";719397.58;"2033-08-07";15041.6;"appartement";326;"F";1375.1;101;17276.2;"48";"44.88264899541478,3.245649963236827";"76";54.1;2.3;6420415.36;"48002";176.3;38.740135;NA;"48002_0040";773;"";"Route du Gévaudan";48200;48002;"Albaret-Sainte-Marie";NA;"";719397.58;6420415.36;3.24565;44.882649;"entrée";NA;"La Garde";"ALBARET-SAINTE-MARIE";"ROUTE DU GEVAUDAN";"commune";"commune";1;"48002000AA0244|48002000AA0245"
"3";"48002_gh0oyt_00104";20358;1.1;"Électricité";"2023-04-21";"Albaret-Sainte-Marie";10.8;2651;1929.7;1352.9;"2348E1534776U";"48200";4438.4;"B";718881.63;"2033-04-20";19614.4;"maison";289.4;"E";2196;9.4;22396.3;"48";"44.881236037383474,3.2391099603021503";"76";143.3;2.2;6420256.84;"48002";316;38.6165;1997;"";104;"";"Route de Chenevière";48200;48002;"Albaret-Sainte-Marie";NA;"";718881.63;6420256.84;3.23911;44.881236;"entrée";NA;"La Roussille";"ALBARET-SAINTE-MARIE";"ROUTE DE CHENEVIERE";"commune";"commune";1;"48002000ZK0100"
"4";"48008_depv12_00019";21321.8;164;"Électricité";"2022-10-10";"Arzenc-de-Randon";1273.9;3110.4;2522.6;1471;"2248E2358740R";"48170";5802.1;"B";751872.61;"2032-10-09";20418.8;"maison";246;"D";2618.4;8;23431.9;"48";"44.625753005783075,3.6539259642559814";"76";182;2.2;6392065.62;"48008";411.9;47.30785;NA;"";19;"";"Lieu Dit la Fage";48170;48008;"Arzenc-de-Randon";NA;"";751866.38;6392070.9;3.653848;44.625801;"entrée";NA;"";"ARZENC-DE-RANDON";"LIEU DIT LA FAGE";"commune";"commune";1;""
"5";"48009_0014_00002";14202.6;143.6;"Électricité";"2021-08-09";"Peyre en Aubrac";1075.2;2978.1;2209;1227.2;"2148E0157830G";"48130";5080.8;"C";722462.28;"2031-08-08";13609.7;"maison";591;"G";2542.6;19;15941.1;"48";"44.72307200713031,3.2836549925998173";"76";62;1;6402701.05;"48009";412.7;43.92932;1947;"48009_0014";2;"";"Rue d’Almontet";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722447.36;6402709.1;3.283467;44.723145;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE D ALMONTET";"commune";"commune";1;"480090000A1512"
"6";"48009_0014_00002";16373.8;105.4;"Fioul domestique";"2021-10-06";"Peyre en Aubrac";5103.7;1865;1621.7;5231.8;"2148E0982076A";"48130";3729.8;"E";722462.28;"2031-10-05";15752.1;"maison";289.6;"E";1440;74.7;17716;"48";"44.72307200713031,3.2836549925998173";"76";70;2;6402701.05;"48009";351;43.92932;1947;"48009_0014";2;"";"Rue d’Almontet";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722447.36;6402709.1;3.283467;44.723145;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"RUE D ALMONTET";"commune";"commune";1;"480090000A1512"
"7";"48009_0018_00008";19579.1;110.9;"Électricité";"2022-02-16";"Peyre en Aubrac";1107.1;2375;1706.3;1226.5;"2248E0317089Q";"48130";3924.4;"C";722385.53;"2032-02-15";18752.5;"maison";599;"G";2073.8;19;20581.8;"48";"44.72131802176538,3.282676977521113";"76";62.4;2.1;6402505.95;"48009";280.9;43.31374;1947;"48009_0018";8;"";"Route d'Aubrac";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722382.36;6402507.94;3.282637;44.721336;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"ROUTE D AUBRAC";"commune";"commune";1;"480090000A1149"
"8";"48009_0018_00016";28544.4;1.4;"Fioul domestique";"2023-04-20";"Peyre en Aubrac";15.4;3195;2406.5;9104.2;"2348E1376415Z";"48130";5534.9;"E";722361.32;"2033-04-19";27341.4;"maison";257.4;"E";2500;65;31122;"48";"44.72107896478659,3.282370061388987";"76";140;2.2;6402479.31;"48009";443;42.195637;1997;"48009_0018";16;"";"Route d'Aubrac";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722361.32;6402479.31;3.28237;44.721079;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"ROUTE D AUBRAC";"commune";"commune";1;"480090000A1153"
"9";"48009_0018_00017";10575;498.7;"Fioul domestique";"2023-01-18";"Peyre en Aubrac";3313.9;1346.2;1539.3;3872.8;"2348E0170057P";"48130";1539.3;"E";722365.17;"2033-01-17";10228.1;"maison";273;"E";935.1;76;12699.6;"48";"44.72074204296878,3.282416987704833";"76";50.8;2.2;6402441.9;"48009";140.7;47.141262;NA;"48009_0018";17;"";"Route d'Aubrac";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722363.35;6402441;3.282394;44.720734;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"ROUTE D AUBRAC";"commune";"commune";1;"480090000A1132"
"10";"48009_0018_00032";17831;131.3;"Électricité";"2021-12-06";"Peyre en Aubrac";1021.3;2285;2019.7;1166;"2148E0867142M";"48130";4645.3;"C";722273.11;"2031-12-05";17218;"maison";357.1;"E";1919;11.7;19435;"48";"44.72005402999407,3.2812510546171265";"76";100;1.1;6402365.15;"48009";333;43.92932;1947;"48009_0018";32;"";"Route d'Aubrac";48130;48009;"Peyre en Aubrac";48009;"Aumont-Aubrac";722281.03;6402385.72;3.281352;44.720239;"entrée";NA;"Aumont-Aubrac";"PEYRE EN AUBRAC";"ROUTE D AUBRAC";"commune";"commune";1;"48009000ZP0193"
